Date,season,Avg_Temp,Min_Temp,Max_Temp,Avg_Humidity,Min_Humidity,Max_Humidity,Avg_Wind,Min_Wind,Max_Wind,city
2003-01-07,winter,-18.8,-31.1,-7.8,80,63,93,7.6,0,16.1,Helsinki
2011-02-18,winter,-23.6,-31.1,-16.1,75.1,66,84,5.1,1.6,8,Helsinki
2012-02-05,winter,-21.4,-31.1,-7.2,83,76,100,9,1.6,22.5,Helsinki
2003-01-11,winter,-15.4,-31.1,-2.2,84.2,69,93,15.6,1.6,32.2,Helsinki
2013-01-19,winter,-20.6,-30,-7.8,80.5,69,93,6.1,1.6,12.9,Helsinki
2011-02-20,winter,-22.1,-30,-12.2,76.9,67,92,2.9,0,9.7,Helsinki
2004-12-20,autumn,-27.2,-30,-25,59.1,49,70,18.2,0,27.4,Ottawa
2009-01-16,winter,-24.7,-30,-20,59.4,0,71,6.4,0,12.9,Ottawa
2004-01-15,winter,-26.4,-30,-25,59.8,49,70,20,3.2,35.4,Ottawa
2004-01-14,winter,-26.1,-30,-23.9,57.1,45,69,7.9,0,20.9,Ottawa
